,path,sentence,mfcc
0,common_voice_id_19192526.mp3,Kamar adik laki-laki saya lebih sempit daripada kamar saya.,"[[-7.04455572e+01 -1.30655650e-07  3.59282843e-08 ...  6.28212709e-08
   1.60964904e-08 -5.03833346e-08]
 [-7.04367115e+01 -9.58565786e-04  8.50802920e-04 ...  2.93263711e-04
  -9.86651000e-06  6.20137082e-04]
 [-6.85993086e+01  5.18219178e-01  2.96247517e-01 ... -1.65321997e-01
  -1.64146092e-01 -1.05518738e-01]
 ...
 [-5.46645882e+01  3.13487534e+00  8.68160467e-01 ...  4.90334737e-01
   4.05629828e-01 -6.46082188e-02]
 [-6.40604077e+01  2.10155635e+00  8.24882768e-01 ...  1.02790922e-01
  -2.01239078e-01  1.28630533e-01]
 [-7.04023067e+01 -2.29993834e-03  3.50692408e-04 ...  4.58279749e-03
  -6.39101359e-03 -2.38428763e-03]]"
1,common_voice_id_19192527.mp3,Ayah akan membunuhku.,"[[-7.04455457e+01 -1.36817247e-06 -1.57782460e-07 ... -1.66773720e-06
   4.36050048e-07  8.77776547e-07]
 [-7.04249752e+01 -2.79209724e-03  3.24439305e-03 ... -1.29938056e-03
   9.41841083e-04 -1.03118045e-03]
 [-6.49284604e+01  1.81024851e+00  1.04744632e+00 ... -3.73945204e-02
   9.27289064e-02 -2.21654282e-01]
 ...
 [-5.71760458e+01  2.12767842e+00  9.20802912e-02 ... -8.00485221e-02
  -9.30384713e-01 -7.68991690e-01]
 [-5.83015806e+01  1.38931126e+00  3.26390798e-01 ... -3.86659317e-01
  -5.16155826e-01 -8.45580072e-01]
 [-5.93545572e+01  1.15308851e+00  5.80321400e-02 ... -6.22144701e-01
  -6.61147879e-02  1.74121489e-01]]"
2,common_voice_id_19192528.mp3,Ini pulpen.,"[[-7.04455574e+01 -1.00903883e-07  5.57620051e-08 ...  5.06924563e-08
   7.30236121e-09  8.48548306e-09]
 [-7.04392115e+01 -1.39815603e-03 -2.48942833e-04 ... -3.58428982e-04
  -3.85642031e-04  5.82266006e-04]
 [-6.90466392e+01  3.77858863e-01  2.75769216e-01 ... -1.31389118e-01
  -4.28719086e-02 -6.01737014e-03]
 ...
 [-5.74103537e+01  2.39579318e+00  1.44149744e+00 ... -4.66233704e-02
  -5.99645617e-01 -3.87839980e-01]
 [-6.88831408e+01  4.19664469e-01  2.84555690e-01 ... -6.32177090e-02
  -1.02048254e-01  6.53031029e-03]
 [-7.04065747e+01  1.02955994e-02  4.58273091e-03 ...  4.57517517e-03
   1.91067914e-03  1.94397199e-03]]"
3,common_voice_id_19192535.mp3,Akira pandai bermain tenis.,"[[-7.04455571e+01 -5.85515605e-08 -4.31000790e-09 ... -1.10448694e-07
  -6.28716322e-09  5.72459070e-08]
 [-7.04365027e+01  6.88742242e-04  2.87142715e-04 ... -2.85912847e-04
  -4.15710823e-04  2.68624885e-04]
 [-6.70032309e+01  1.67881643e+00  9.02412293e-01 ... -3.54440399e-01
  -3.89866075e-01 -2.60931395e-01]
 ...
 [-5.83536576e+01  1.69076585e+00  6.93612514e-01 ... -1.64337232e-01
   2.18481652e-01  3.20479722e-01]
 [-5.80715779e+01  2.80303714e+00  1.13911530e+00 ... -6.36078487e-01
  -3.92951580e-01  1.83080944e-01]
 [-6.90488850e+01  5.21327588e-01  2.57311498e-01 ... -2.50618230e-01
  -2.30869438e-01 -1.55302575e-01]]"
4,common_voice_id_19192536.mp3,Dia keluar dari ruangan tanpa mengatakan sepatah kata pun.,"[[-7.04455063e+01 -4.21973930e-06 -1.51532724e-05 ... -9.79880496e-06
   5.31346262e-06  4.43591415e-06]
 [-6.99133768e+01 -1.68660289e-02 -3.09213078e-01 ... -1.95830271e-01
   1.75143632e-02  1.71964283e-01]
 [-5.85772985e+01  1.21720688e+00 -2.18663737e+00 ... -2.63207694e-01
   4.55965195e-02  2.86553153e-01]
 ...
 [-5.57964700e+01  2.14184778e+00  1.28560039e-01 ... -8.42005672e-01
  -9.46723301e-01 -5.39004020e-01]
 [-6.07359364e+01  2.40433175e+00  7.39758030e-01 ... -3.61119722e-01
  -3.12187499e-01 -2.26584017e-01]
 [-7.03558535e+01 -1.54251573e-02  2.49388901e-03 ...  6.70006766e-03
  -5.10043128e-03 -4.09366990e-03]]"
5,common_voice_id_19192537.mp3,Besok Anda akan bertemu dengan siapa.,"[[-7.04455574e+01 -9.78782581e-08 -7.62441211e-08 ... -5.51722876e-08
   6.25073999e-09  2.48628343e-08]
 [-7.04389981e+01  9.68585973e-05  4.25040668e-04 ... -4.62661745e-04
   3.75389247e-05 -1.32121717e-04]
 [-6.90236810e+01  4.09208571e-01  9.52539948e-02 ...  9.33275313e-03
   1.03127712e-01  1.07751811e-01]
 ...
 [-5.41857524e+01  3.49227531e+00  2.82085582e-01 ... -2.56174543e+00
  -8.39009160e-01  4.41071842e-01]
 [-5.37790531e+01  3.47842876e+00  2.65705826e-01 ... -8.08825840e-01
  -3.71212671e-01 -7.29203454e-03]
 [-5.42013272e+01  3.28049808e+00 -1.33000566e+00 ... -1.29015688e+00
  -3.23078346e-01  4.57520827e-01]]"
6,common_voice_id_19192551.mp3,Aku mengerti maksudmu.,"[[-7.04455574e+01 -1.25247143e-07  2.31474501e-08 ...  2.21851812e-08
  -5.57928180e-08 -1.34605564e-08]
 [-7.04377459e+01  1.00719778e-03  1.74667161e-04 ... -9.17135840e-04
  -7.99051887e-04 -1.00335467e-03]
 [-6.93159070e+01  3.14992538e-01  1.10682765e-01 ... -2.49379861e-02
   2.35328064e-02 -7.94305849e-02]
 ...
 [-5.76627985e+01  2.09330636e+00  5.10590884e-01 ... -1.64032619e-01
  -3.68641193e-01 -6.23086789e-01]
 [-5.96225337e+01  1.82332153e+00  6.20713442e-01 ... -1.06230963e+00
  -9.37059908e-01 -6.47915721e-01]
 [-6.14345877e+01  1.76071029e+00  7.68984554e-01 ... -5.87370058e-01
  -1.63742222e-01  1.72439112e-01]]"
7,common_voice_id_19192552.mp3,Tolong lepas jasmu.,"[[-7.04455573e+01 -2.25444769e-08 -5.79009473e-08 ... -5.33496430e-08
   6.33022139e-08  4.85840249e-09]
 [-7.04383612e+01 -3.39748859e-04 -1.03941207e-05 ...  3.29235255e-04
  -4.19627463e-04 -1.73859360e-03]
 [-6.92911004e+01  2.76847755e-01  1.39259408e-01 ...  7.54753878e-02
  -6.54909540e-02 -1.64046009e-01]
 ...
 [-6.10705962e+01  1.36114303e+00 -1.39665286e-01 ... -3.92641218e-01
  -2.05603216e-01 -3.76752283e-01]
 [-6.11544239e+01  1.54534326e+00  1.57758551e-01 ... -1.77697786e-01
  -2.47832686e-01 -5.57319946e-01]
 [-6.79342265e+01  5.20663247e-01  7.34617440e-02 ...  1.60642668e-01
   2.31137549e-02 -1.30874596e-01]]"
8,common_voice_id_19192553.mp3,Saya mengerti dua bahasa asing.,"[[-7.04454808e+01 -4.16366620e-06 -1.40479762e-05 ...  1.63614966e-06
  -3.76191084e-06 -6.79051907e-06]
 [-7.03203516e+01 -1.83955016e-02 -2.45018197e-02 ...  1.37846423e-02
   1.13878558e-02  1.58987082e-03]
 [-5.72865682e+01  1.74035544e+00 -1.64397548e+00 ... -2.00740586e-01
   9.35918131e-02  1.01478736e-01]
 ...
 [-5.39575162e+01  2.24441369e+00  2.57491644e-01 ... -7.31106057e-01
  -3.94400686e-01 -2.36838333e-02]
 [-5.56088470e+01  2.70971893e+00  1.12928181e+00 ... -3.69891250e-01
  -5.20168706e-01 -5.27327867e-01]
 [-6.74130376e+01  8.67220191e-01  5.41588842e-01 ... -3.01991773e-01
  -1.07488412e-01  2.99445673e-02]]"
9,common_voice_id_19192561.mp3,Jim mahir dalam Bahasa Perancis dan Jerman.,"[[-7.04455574e+01 -2.94869151e-08 -2.56742250e-08 ... -1.26060321e-08
   1.25646233e-08 -1.40742657e-09]
 [-7.04367614e+01 -1.42458825e-04  3.86741158e-04 ...  1.47621185e-04
  -2.17027944e-04 -6.28073955e-04]
 [-6.92869958e+01  2.59155793e-01  1.45821673e-01 ... -3.77600907e-02
   3.04961449e-02 -6.39735843e-02]
 ...
 [-5.70532089e+01  2.18885232e+00  1.20643854e-01 ... -8.86677090e-01
  -3.27111485e-01 -8.22651483e-02]
 [-5.88238787e+01  1.45140862e+00  2.23757498e-01 ... -2.92501252e-01
  -2.36610825e-01 -1.57796587e-01]
 [-6.22593494e+01  1.37064977e+00  1.99924217e-01 ... -7.01680178e-01
  -2.51293173e-01 -3.47184935e-03]]"
